Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of aaeRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aaeRp	-	aaeR	b3243
Regulation of aaeXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aaeXp	+	aaeX // aaeA // aaeB	b3242 // b3241 // b3240
Regulation of aaeXp by DNA-binding transcriptional activator AaeR	aaeXp	+	aaeX // aaeA // aaeB	b3242 // b3241 // b3240
Regulation of accAp2 by DNA-binding transcriptional dual regulator FadR	accAp2	+	accA	b0185
Regulation of accBp1 by biotin carboxyl carrier protein (dimer)	accBp1	-	accB // accC	b3255 // b3256
Regulation of accBp2 by DNA-binding transcriptional dual regulator FadR	accBp2	+	accC // accB	b3256 // b3255
Regulation of accDp by DNA-binding transcriptional dual regulator FadR	accDp	+	accD	b2316
Regulation of aceBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by DNA-binding transcriptional dual regulator Cra	aceBp	+	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by DNA-binding transcriptional dual regulator IHF	aceBp	+	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by DNA-binding transcriptional dual regulator IHF	aceBp	+	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of aceEp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aceEp1	-	aceF // aceE	b0115 // b0114
Regulation of aceEp1 by DNA-binding transcriptional dual regulator FNR	aceEp1	-	aceF // aceE	b0115 // b0114
Regulation of aceEp1 by DNA-binding transcriptional dual regulator NsrR	aceEp1	-	aceF // aceE	b0115 // b0114
Regulation of aceEp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aceEp2	-	aceF // aceE	b0115 // b0114
Regulation of aceEp2 by DNA-binding transcriptional dual regulator FNR	aceEp2	-	aceF // aceE	b0115 // b0114
Regulation of aceEp2 by DNA-binding transcriptional dual regulator NsrR	aceEp2	-	aceF // aceE	b0115 // b0114
Regulation of ackAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ackAp	+	ackA	b2296
Regulation of ackAp by DNA-binding transcriptional dual regulator FNR	ackAp	+	ackA	b2296
Regulation of acnAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acnAp2	+	acnA	b1276
Regulation of acnAp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnAp2	-	acnA	b1276
Regulation of acnAp2 by DNA-binding transcriptional dual regulator Cra	acnAp2	+	acnA	b1276
Regulation of acnAp2 by DNA-binding transcriptional dual regulator FNR	acnAp2	-	acnA	b1276
Regulation of acnAp2 by DNA-binding transcriptional dual regulator MarA	acnAp2	+	acnA	b1276
Regulation of acnAp2 by DNA-binding transcriptional dual regulator Rob	acnAp2	+	acnA	b1276
Regulation of acnAp2 by DNA-binding transcriptional dual regulator SoxS	acnAp2	+	acnA	b1276
Regulation of acnBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acnBp1	+	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator Cra	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator Fis	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator Fis	acnBp1	-	acnB	b0118
Regulation of acnBp1 by DNA-binding transcriptional dual regulator Fis	acnBp1	-	acnB	b0118
Regulation of acrAp by DNA-binding transcriptional dual regulator MarA	acrAp	+	acrA // acrB	b0463 // b0462
Regulation of acrAp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	acrAp	-	acrA // acrB	b0463 // b0462
Regulation of acrAp by DNA-binding transcriptional dual regulator Rob	acrAp	+	acrA // acrB	b0463 // b0462
Regulation of acrAp by DNA-binding transcriptional dual regulator SoxS	acrAp	+	acrA // acrB	b0463 // b0462
Regulation of acrAp by DNA-binding transcriptional repressor AcrR	acrAp	-	acrA // acrB	b0463 // b0462
Regulation of acrAp by DNA-binding transcriptional repressor EnvR	acrAp	-	acrA // acrB	b0463 // b0462
Regulation of acrAp by DNA-binding transcriptional repressor MprA	acrAp	-	acrA // acrB	b0463 // b0462
Regulation of acrDp by DNA-binding transcriptional activator EvgA-phosphorylated	acrDp	+	acrD	b2470
Regulation of acrDp2 by DNA-binding transcriptional activator BaeR-phosphorylated	acrDp2	+	acrD	b2470
Regulation of acrDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	acrDp2	+	acrD	b2470
Regulation of acrDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	acrDp2	+	acrD	b2470
Regulation of acrDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	acrDp2	+	acrD	b2470
Regulation of acrEp by DNA-binding transcriptional dual regulator FNR	acrEp	+	acrE // acrF	b3265 // b3266
Regulation of acrEp by DNA-binding transcriptional dual regulator H-NS	acrEp	-	acrE // acrF	b3265 // b3266
Regulation of acrRp by DNA-binding transcriptional repressor AcrR	acrRp	-	acrR	b0464
Regulation of acrZp by DNA-binding transcriptional dual regulator MarA	acrZp	+	acrZ	b0762
Regulation of acrZp by DNA-binding transcriptional dual regulator Rob	acrZp	+	acrZ	b0762
Regulation of acrZp by DNA-binding transcriptional dual regulator SoxS	acrZp	+	acrZ	b0762
Regulation of acsp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by DNA-binding transcriptional dual regulator Fis	acsp	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by DNA-binding transcriptional dual regulator Fis	acsp	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by DNA-binding transcriptional dual regulator Fis	acsp	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by DNA-binding transcriptional dual regulator IHF	acsp	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by DNA-binding transcriptional dual regulator IHF	acsp	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by DNA-binding transcriptional dual regulator IHF	acsp	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp1 by DNA-binding transcriptional dual regulator Fis	acsp1	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp1 by DNA-binding transcriptional dual regulator IHF	acsp1	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp2	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp2	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by DNA-binding transcriptional dual regulator Fis	acsp2	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by DNA-binding transcriptional dual regulator Fis	acsp2	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by DNA-binding transcriptional dual regulator Fis	acsp2	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by DNA-binding transcriptional dual regulator IHF	acsp2	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by DNA-binding transcriptional dual regulator IHF	acsp2	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by DNA-binding transcriptional dual regulator IHF	acsp2	-	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of adap by DNA-binding transcriptional dual regulator / DNA repair protein Ada	adap	+	alkB // ada	b2212 // b2213
Regulation of adap by DNA-binding transcriptional dual regulator / DNA repair protein Ada	adap	-	alkB // ada	b2212 // b2213
Regulation of adap2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada	adap2	-	alkB // ada	b2212 // b2213
Regulation of adap2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada	adap2	+	alkB // ada	b2212 // b2213
Regulation of addp6 by RbsR-D-ribose	addp6	+	add	b1623
Regulation of adep by DNA-binding transcriptional dual regulator H-NS	adep	-	adeD	b3665
Regulation of adhEp by DNA-binding transcriptional dual regulator Cra	adhEp	-	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator Fis	adhEp	+	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator Fis	adhEp	+	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator Fis	adhEp	+	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator Lrp	adhEp	-	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator Lrp	adhEp	-	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator Lrp	adhEp	-	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator NarL-phosphorylated	adhEp	-	adhE	b1241
Regulation of adhEp by DNA-binding transcriptional dual regulator NarL-phosphorylated	adhEp	-	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Cra	adhEp1	-	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Fis	adhEp1	+	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Fis	adhEp1	+	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Fis	adhEp1	+	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Lrp	adhEp1	-	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Lrp	adhEp1	-	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Lrp	adhEp1	-	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	adhEp1	-	adhE	b1241
Regulation of adhEp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	adhEp1	-	adhE	b1241
Regulation of adhEp2 by DNA-binding transcriptional dual regulator FNR	adhEp2	+	adhE	b1241
Regulation of adhEp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated	adhEp2	-	adhE	b1241
Regulation of adhEp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated	adhEp2	-	adhE	b1241
Regulation of adiAp by DNA-binding transcriptional activator AdiY	adiAp	+	adiA	b4117
Regulation of adiAp by DNA-binding transcriptional dual regulator H-NS	adiAp	-	adiA	b4117
Regulation of adiAp by DNA-binding transcriptional dual regulator IHF	adiAp	+	adiA	b4117
Regulation of adiCp7 by DNA-binding transcriptional dual regulator PhoB-phosphorylated	adiCp7	+	adiC	b4115
Regulation of adiCp7 by GadE-RcsB DNA-binding transcriptional activator	adiCp7	+	adiC	b4115
Regulation of adiYp by DNA-binding transcriptional dual regulator H-NS	adiYp	-	adiY	b4116
Regulation of adrAp by DNA-binding transcriptional dual regulator CsgD	adrAp	+	dgcC	b0385
Regulation of adrAp by DNA-binding transcriptional dual regulator CsgD	adrAp	+	dgcC	b0385
Regulation of aerp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aerp	+	aer	b3072
Regulation of aerp by DNA-binding transcriptional dual regulator FNR	aerp	+	aer	b3072
Regulation of agaRp by DNA-binding transcriptional repressor AgaR	agaRp	-	agaR	b3131
Regulation of agaRp by DNA-binding transcriptional repressor AgaR	agaRp	-	agaR	b3131
Regulation of agaSp by DNA-binding transcriptional repressor AgaR	agaSp	-	agaI // agaD // agaC // agaB // kbaY // agaS	b3141 // b3140 // b3139 // b3138 // b3137 // b3136
Regulation of agaSp by DNA-binding transcriptional repressor AgaR	agaSp	-	agaI // agaD // agaC // agaB // kbaY // agaS	b3141 // b3140 // b3139 // b3138 // b3137 // b3136
Regulation of agaSp by DNA-binding transcriptional repressor AgaR	agaSp	-	agaI // agaD // agaC // agaB // kbaY // agaS	b3141 // b3140 // b3139 // b3138 // b3137 // b3136
