Gene,Sign,locus
aaeR,-,b3243
aaeX,+,b3242
aaeA,+,b3241
aaeB,+,b3240
aaeX,+,b3242
aaeA,+,b3241
aaeB,+,b3240
accA,+,b0185
accB,-,b3255
accC,-,b3256
accC,+,b3256
accB,+,b3255
accD,+,b2316
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,+,b4014
aceA,+,b4015
aceK,+,b4016
aceB,+,b4014
aceA,+,b4015
aceK,+,b4016
aceB,+,b4014
aceA,+,b4015
aceK,+,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
aceF,-,b0115
aceE,-,b0114
aceF,-,b0115
aceE,-,b0114
aceF,-,b0115
aceE,-,b0114
aceF,-,b0115
aceE,-,b0114
aceF,-,b0115
aceE,-,b0114
aceF,-,b0115
aceE,-,b0114
ackA,+,b2296
ackA,+,b2296
acnA,+,b1276
acnA,-,b1276
acnA,+,b1276
acnA,-,b1276
acnA,+,b1276
acnA,+,b1276
acnA,+,b1276
acnB,+,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acnB,-,b0118
acrA,+,b0463
acrB,+,b0462
acrA,-,b0463
acrB,-,b0462
acrA,+,b0463
acrB,+,b0462
acrA,+,b0463
acrB,+,b0462
acrA,-,b0463
acrB,-,b0462
acrA,-,b0463
acrB,-,b0462
acrA,-,b0463
acrB,-,b0462
acrD,+,b2470
acrD,+,b2470
acrD,+,b2470
acrD,+,b2470
acrD,+,b2470
acrE,+,b3265
acrF,+,b3266
acrE,-,b3265
acrF,-,b3266
acrR,-,b0464
acrZ,+,b0762
acrZ,+,b0762
acrZ,+,b0762
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
actP,-,b4067
yjcH,-,b4068
acs,-,b4069
alkB,+,b2212
ada,+,b2213
alkB,-,b2212
ada,-,b2213
alkB,-,b2212
ada,-,b2213
alkB,+,b2212
ada,+,b2213
add,+,b1623
adeD,-,b3665
adhE,-,b1241
adhE,+,b1241
adhE,+,b1241
adhE,+,b1241
adhE,-,b1241
adhE,-,b1241
adhE,-,b1241
adhE,-,b1241
adhE,-,b1241
adhE,-,b1241
adhE,+,b1241
adhE,+,b1241
adhE,+,b1241
adhE,-,b1241
adhE,-,b1241
adhE,-,b1241
adhE,-,b1241
adhE,-,b1241
adhE,+,b1241
adhE,-,b1241
adhE,-,b1241
adiA,+,b4117
adiA,-,b4117
adiA,+,b4117
adiC,+,b4115
adiC,+,b4115
adiY,-,b4116
dgcC,+,b0385
dgcC,+,b0385
aer,+,b3072
aer,+,b3072
agaR,-,b3131
agaR,-,b3131
agaI,-,b3141
agaD,-,b3140
agaC,-,b3139
agaB,-,b3138
kbaY,-,b3137
agaS,-,b3136
agaI,-,b3141
agaD,-,b3140
agaC,-,b3139
agaB,-,b3138
kbaY,-,b3137
agaS,-,b3136
agaI,-,b3141
agaD,-,b3140
agaC,-,b3139
agaB,-,b3138
kbaY,-,b3137
agaS,-,b3136
agaI,-,b3141
agaD,-,b3140
agaC,-,b3139
agaB,-,b3138
kbaY,-,b3137
agaS,-,b3136
agaI,-,b3141
agaD,-,b3140
agaC,-,b3139
agaB,-,b3138
kbaY,-,b3137
agaS,-,b3136
agaI,-,b3141
agaD,-,b3140
agaC,-,b3139
agaB,-,b3138
kbaY,-,b3137
agaS,-,b3136
agp,+,b1002
ahpC,+,b0605
ahpF,+,b0606
ahpC,+,b0605
ahpF,+,b0606
ahpC,-,b0605
ahpF,-,b0606
ahpC,-,b0605
ahpF,-,b0606
ahpF,+,b0606
ahpC,+,b0605
ahpF,+,b0606
ahpC,+,b0605
aidB,+,b4187
aidB,-,b4187
aidB,-,b4187
aidB,+,b4187
aidB,-,b4187
aidB,-,b4187
alaA,-,b2290
alaC,+,b2379
alaE,+,b2670
alaE,+,b2670
alaS,-,b2697
alaX,+,b2396
alaW,+,b2397
aldA,+,b1415
aldA,-,b1415
aldA,-,b1415
aldA,-,b1415
aldA,-,b1415
aldA,-,b1415
aldA,-,b1415
aldA,+,b1415
aldA,+,b1415
aldA,+,b1415
aldA,-,b1415
aldB,+,b3588
aldB,-,b3588
aldB,-,b3588
aldB,-,b3588
aldB,-,b3588
aldB,-,b3588
alkA,+,b2068
alkA,+,b2068
allA,-,b0505
allE,+,b0515
allC,+,b0516
allD,+,b0517
allS,-,b0504
alsE,-,b4085
alsC,-,b4086
alsA,-,b4087
alsB,-,b4088
alsR,-,b4089
alsE,-,b4085
alsC,-,b4086
alsA,-,b4087
alsB,-,b4088
alsR,-,b4089
hemF,-,b2436
amiA,-,b2435
amn,+,b1982
ampC,-,b4150
ampC,+,b4150
ampD,-,b0110
ampE,-,b0111
ansB,-,b2957
ansB,-,b2957
ansB,+,b2957
ansB,+,b2957
appX,+,b4592
appC,+,b0978
appB,+,b0979
appA,+,b0980
appX,+,b4592
appC,+,b0978
appB,+,b0979
appA,+,b0980
appX,+,b4592
appC,+,b0978
appB,+,b0979
appA,+,b0980
appX,+,b4592
appC,+,b0978
appB,+,b0979
appA,+,b0980
appX,+,b4592
appC,+,b0978
appB,+,b0979
appA,+,b0980
appX,+,b4592
appC,+,b0978
appB,+,b0979
appA,+,b0980
appY,-,b0564
appY,-,b0564
appY,+,b0564
araD,+,b0061
araA,+,b0062
araB,+,b0063
araD,-,b0061
araA,-,b0062
araB,-,b0063
araD,+,b0061
araA,+,b0062
araB,+,b0063
araD,-,b0061
araA,-,b0062
araB,-,b0063
araD,+,b0061
araA,+,b0062
araB,+,b0063
araD,-,b0061
araA,-,b0062
araB,-,b0063
araD,-,b0061
araA,-,b0062
araB,-,b0063
araC,+,b0064
araC,+,b0064
araC,-,b0064
araC,-,b0064
araC,+,b0064
araC,-,b0064
araC,-,b0064
araC,-,b0064
araC,-,b0064
ygeA,+,b2840
araE,+,b2841
ygeA,+,b2840
araE,+,b2841
ygeA,+,b2840
araE,+,b2841
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araJ,+,b0396
araJ,+,b0396
araJ,+,b0396
araJ,-,b0396
arcA,+,b4401
arcA,-,b4401
arcZ,-,b4450
argA,-,b2818
argA,-,b2818
argC,-,b3958
argB,-,b3959
argH,-,b3960
argC,-,b3958
argB,-,b3959
argH,-,b3960
argD,-,b3359
argD,-,b3359
argD,-,b3359
argE,-,b3957
argE,-,b3957
argF,-,b0273
argF,-,b0273
argG,-,b3172
argG,-,b3172
argG,-,b3172
argG,+,b3172
argI,-,b4254
argI,-,b4254
argI,+,b4254
argI,+,b4254
argO,+,b2923
argO,+,b2923
argO,+,b2923
argO,+,b2923
argO,+,b2923
argP,-,b2916
argP,-,b2916
argP,+,b2916
argR,-,b3237
argR,-,b3237
argS,-,b1876
hisP,+,b2306
hisM,+,b2307
hisQ,+,b2308
hisJ,+,b2309
argT,+,b2310
hisP,+,b2306
hisM,+,b2307
hisQ,+,b2308
hisJ,+,b2309
argT,+,b2310
hisP,-,b2306
hisM,-,b2307
hisQ,-,b2308
hisJ,-,b2309
argT,-,b2310
argU,+,b0536
argW,+,b2348
argX,-,b3796
hisR,-,b3797
leuT,-,b3798
proM,-,b3799
argX,+,b3796
hisR,+,b3797
leuT,+,b3798
proM,+,b3799
argX,-,b3796
hisR,-,b3797
leuT,-,b3798
proM,-,b3799
argX,+,b3796
hisR,+,b3797
leuT,+,b3798
proM,+,b3799
tyrA,+,b2600
aroF,+,b2601
tyrA,-,b2600
aroF,-,b2601
tyrA,-,b2600
aroF,-,b2601
tyrA,-,b2600
aroF,-,b2601
aroG,+,b0754
aroG,-,b0754
aroH,-,b1704
aroH,-,b1704
aroL,-,b0388
yaiA,-,b0389
aroM,-,b0390
aroL,-,b0388
yaiA,-,b0389
aroM,-,b0390
aroL,-,b0388
yaiA,-,b0389
aroM,-,b0390
aroL,-,b0388
yaiA,-,b0389
aroM,-,b0390
aroL,-,b0388
yaiA,-,b0389
aroM,-,b0390
aroP,+,b0112
aroP,-,b0112
aroP,-,b0112
aroP,+,b0112
aroP,-,b0112
aroP,-,b0112
arsR,-,b3501
arsB,-,b3502
arsC,-,b3503
artJ,-,b0860
artJ,-,b0860
artM,-,b0861
artQ,-,b0862
artI,-,b0863
artP,-,b0864
artM,-,b0861
artQ,-,b0862
artI,-,b0863
artP,-,b0864
ascF,+,b2715
ascB,+,b2716
ascF,-,b2715
