Growth Rate,Growth Rate Error,Concentration,Concentration Error,Strain,Carbon Source,Dox,Date Sampling
0.932697,0.000000,1.778786,0.289129,WT,glucose,0.000000,20220222
0.907332,0.000000,1.484733,0.088046,WT,glucose,0.000000,20220223
0.555879,0.000000,6.547888,0.201113,WT,glycerol,0.000000,20220328
0.515821,0.000000,6.747955,0.120049,pTetRelA,glycerol,0.000000,20220329
0.791281,0.000000,1.831984,0.249613,pTetRelA,glucose,0.200000,20220426
0.543426,0.000000,8.400784,0.459051,pTetRelA,glycerol,0.000000,20220429
0.391466,0.000000,7.053680,0.301821,pTetRelA,glycerol,0.200000,20220504
0.456706,0.000000,9.280722,0.361553,pTetRelA,glycerol,0.200000,20220510
0.288723,0.000000,7.919913,0.310419,pTetRelA,glycerol,0.400000,20220511
0.280228,0.000000,11.474252,1.144802,pTetRelA,glycerol,0.350000,20220512
0.329194,0.000000,12.937663,0.693414,pTetRelA,glycerol,0.300000,20220513
0.441984,0.000000,9.250190,0.093783,pTetRelA,glycerol,0.150000,20220517
0.466614,0.000000,10.765715,0.092174,pTetRelA,glycerol,0.100000,20220517
0.527373,0.000000,9.485735,1.409194,pTetRelA,succinate,0.000000,20220519
0.405703,0.000000,6.779747,0.158214,pTetRelA,succinate,0.300000,20220520
0.378529,0.000000,6.374803,0.090260,pTetRelA,succinate,0.400000,20220520
0.463834,0.000000,7.503296,0.230467,pTetRelA,succinate,0.200000,20220524
0.343997,0.000000,5.486364,0.161344,pTetRelA,succinate,0.600000,20220524
0.584101,0.000000,9.115121,0.993799,pTetRelA,succinate,0.100000,20220531
0.359278,0.000000,6.691292,0.358603,pTetRelA,succinate,0.500000,20220531
0.905538,0.004425,4.838824,0.397412,WT,glucose,0.000000,20220916
0.157489,0.000000,22.029369,0.377126,WT,glutamate,0.000000,20220713
0.151211,0.000000,21.179369,0.146546,WT,aspartate,0.000000,20220713
0.370833,0.000000,10.043083,0.858211,WT,acetate,0.000000,20220705
0.635915,0.000000,5.701171,0.063868,WT,succinate,0.000000,20220705
0.575755,0.000000,2.309575,0.368533,pTetRelA,glucose,0.800000,20220411
0.668607,0.000000,1.961974,0.373222,pTetRelA,glucose,0.500000,20220412
0.178112,0.000000,13.399859,1.650736,pTetRelA,glycerol,0.600000,20220414
0.430631,0.000000,13.380714,0.511922,pTetRelA,glycerol,0.200000,20220420
0.426679,0.000000,3.140035,0.245526,pTetRelA,glucose,0.800000,20220422
0.851570,0.000000,3.320049,0.080339,pTetRelA,glucose,0.000000,20220422
