Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
malI,dual,carbon compounds; Transcription related; repressor; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol; GO:0032993 - protein-DNA complex,GO:0000976 - transcription cis-regulatory region binding; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
exuT,activator,"carbon compounds; Porters (Uni-, Sym- and Antiporters); membrane",GO:0015736 - hexuronate transmembrane transport; GO:0015778 - hexuronide transmembrane transport; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015134 - hexuronate transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
ppdD,activator,pilus,GO:0043107 - type IV pilus-dependent motility,GO:0005576 - extracellular region; GO:0009289 - pilus; GO:0016020 - membrane; GO:0044096 - type IV pilus,
hofB,activator,,,GO:0005829 - cytosol; GO:0005886 - plasma membrane,GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity
hofC,activator,membrane,GO:0009306 - protein secretion; GO:0015628 - protein secretion by the type II secretion system,GO:0005886 - plasma membrane; GO:0016020 - membrane,
hofM,activator,carbon utilization,GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization,,
hofN,activator,carbon utilization,GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization; GO:0043107 - type IV pilus-dependent motility; GO:0043683 - type IV pilus assembly,GO:0005886 - plasma membrane; GO:0016020 - membrane,
hofP,activator,carbon utilization,GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization,,
hofO,activator,carbon utilization,GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization,GO:0005886 - plasma membrane; GO:0016020 - membrane,
ascB,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0008152 - metabolic process; GO:0016052 - carbohydrate catabolic process; GO:2000892 - cellobiose catabolic process,GO:0005829 - cytosol,"GO:0004553 - hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0008422 - beta-glucosidase activity; GO:0008706 - 6-phospho-beta-glucosidase activity; GO:0016787 - hydrolase activity; GO:0016798 - hydrolase activity, acting on glycosyl bonds; GO:0103047 - methyl beta-D-glucoside 6-phosphate glucohydrolase activity"
ascF,activator,carbon compounds; Phosphotransferase Systems (PEP-dependent PTS); membrane,GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0015771 - trehalose transport; GO:0016310 - phosphorylation; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0090589 - protein-phosphocysteine-trehalose phosphotransferase system transporter activity
udp,dual,nucleotide and nucleoside conversions,GO:0006152 - purine nucleoside catabolic process; GO:0006218 - uridine catabolic process; GO:0006974 - DNA damage response; GO:0009116 - nucleoside metabolic process; GO:0009164 - nucleoside catabolic process; GO:0009166 - nucleotide catabolic process; GO:0044206 - UMP salvage; GO:0046050 - UMP catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032991 - protein-containing complex,GO:0003824 - catalytic activity; GO:0004731 - purine-nucleoside phosphorylase activity; GO:0004850 - uridine phosphorylase activity; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016763 - pentosyltransferase activity; GO:0030955 - potassium ion binding; GO:0042802 - identical protein binding
trg,activator,"inhibition / activation of enzymes; motility, chemotaxis, energytaxis (aerotaxis, redoxtaxis etc); membrane",GO:0006935 - chemotaxis; GO:0007165 - signal transduction,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0098561 - methyl accepting chemotaxis protein complex,GO:0004888 - transmembrane signaling receptor activity; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity
azuC,repressor,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005515 - protein binding; GO:0008047 - enzyme activator activity
azuR,repressor,,,,
ykgR,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
lsrA,activator,ABC superfamily ATP binding cytoplasmic component,GO:0009372 - quorum sensing; GO:1905887 - autoinducer AI-2 transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity
lsrD,activator,"ABC superfamily, membrane component; membrane",GO:0009372 - quorum sensing; GO:0055085 - transmembrane transport; GO:1905887 - autoinducer AI-2 transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0022857 - transmembrane transporter activity
lsrB,activator,"ABC superfamily, periplasmic binding component",GO:0009372 - quorum sensing; GO:1905887 - autoinducer AI-2 transmembrane transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0030246 - carbohydrate binding
lsrF,activator,regulation,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0004332 - fructose-bisphosphate aldolase activity; GO:0016740 - transferase activity; GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups; GO:0016829 - lyase activity; GO:0016832 - aldehyde-lyase activity"
tam,activator,unassigned reversible reactions; detoxification,GO:0032259 - methylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0008168 - methyltransferase activity; GO:0016740 - transferase activity; GO:0030798 - trans-aconitate 2-methyltransferase activity
lsrC,activator,"ABC superfamily, membrane component; membrane",GO:0009372 - quorum sensing; GO:0055085 - transmembrane transport; GO:1905887 - autoinducer AI-2 transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0022857 - transmembrane transporter activity
lsrG,activator,information transfer,GO:0009372 - quorum sensing,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0002952 - (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity; GO:0016491 - oxidoreductase activity; GO:0016853 - isomerase activity; GO:0016861 - intramolecular oxidoreductase activity, interconverting aldoses and ketoses"
lsrK,activator,cell processes,GO:0005975 - carbohydrate metabolic process; GO:0009372 - quorum sensing; GO:0016310 - phosphorylation; GO:0044010 - single-species biofilm formation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0005515 - protein binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0071518 - autoinducer-2 kinase activity
lsrR,activator,Transcription related; repressor,GO:0006351 - DNA-templated transcription; GO:0009408 - response to heat; GO:2000142 - regulation of DNA-templated transcription initiation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0030246 - carbohydrate binding; GO:0042802 - identical protein binding
fadH,activator,fatty acids; fatty acids and phosphatidic acid,"GO:0006635 - fatty acid beta-oxidation; GO:0033543 - fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway",GO:0005829 - cytosol,"GO:0005515 - protein binding; GO:0008670 - 2,4-dienoyl-CoA reductase (NADPH) activity; GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding; GO:0071949 - FAD binding"
uxaB,activator,carbon compounds,GO:0019592 - mannitol catabolic process; GO:0019698 - D-galacturonate catabolic process,GO:0005829 - cytosol,"GO:0008926 - mannitol-1-phosphate 5-dehydrogenase activity; GO:0009026 - tagaturonate reductase activity; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
lacI,activator,carbon compounds; Transcription related; repressor; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0042802 - identical protein binding
mhpR,activator,fatty acids; Transcription related; activator; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0019439 - aromatic compound catabolic process; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
nadC,activator,nicotinamide adenine dinucleotide,GO:0009435 - NAD biosynthetic process; GO:0019363 - pyridine nucleotide biosynthetic process; GO:0034213 - quinolinate catabolic process; GO:0034628 - 'de novo' NAD biosynthetic process from aspartate,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0004514 - nicotinate-nucleotide diphosphorylase (carboxylating) activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016763 - pentosyltransferase activity
arfB,repressor,translation,GO:0006415 - translational termination; GO:0006417 - regulation of translation; GO:0072344 - rescue of stalled ribosome,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003747 - translation release factor activity; GO:0004045 - aminoacyl-tRNA hydrolase activity; GO:0016787 - hydrolase activity; GO:0043022 - ribosome binding
yaeQ,repressor,,,GO:0005829 - cytosol,
nlpE,repressor,"other (mechanical, nutritional, oxidative stress); membrane",GO:0007155 - cell adhesion; GO:0010810 - regulation of cell-substrate adhesion; GO:0036460 - cellular response to cell envelope stress; GO:1990169 - stress response to copper ion,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,GO:0005515 - protein binding; GO:0042802 - identical protein binding
comR,repressor,transcriptional level,GO:0006355 - regulation of DNA-templated transcription; GO:0009889 - regulation of biosynthetic process; GO:0045892 - negative regulation of DNA-templated transcription; GO:0046688 - response to copper ion; GO:0080090 - regulation of primary metabolic process,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
yeiP,activator,,GO:0006414 - translational elongation; GO:0043043 - peptide biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003746 - translation elongation factor activity
aaeX,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
aaeB,activator,transport; membrane,GO:0046942 - carboxylic acid transport; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0022857 - transmembrane transporter activity
aaeA,activator,transport; membrane,GO:0046942 - carboxylic acid transport; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0022857 - transmembrane transporter activity
aaeR,repressor,Transcription related; activator; defense/survival,GO:0006351 - DNA-templated transcription; GO:0006352 - DNA-templated transcription initiation; GO:0006355 - regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
ldtB,dual,murein (peptidoglycan),GO:0000270 - peptidoglycan metabolic process; GO:0008360 - regulation of cell shape; GO:0009252 - peptidoglycan biosynthetic process; GO:0018104 - peptidoglycan-protein cross-linking; GO:0071555 - cell wall organization,GO:0005576 - extracellular region; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,"GO:0004180 - carboxypeptidase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016787 - hydrolase activity; GO:0071972 - peptidoglycan L,D-transpeptidase activity"
yeiW,activator,,,,GO:0005515 - protein binding
rof,repressor,Transcription related; transcriptional level,GO:0031554 - regulation of termination of DNA-templated transcription; GO:0031564 - transcription antitermination,GO:0005829 - cytosol,GO:0005515 - protein binding
yaeP,repressor,,,GO:0005829 - cytosol,
ybiT,dual,,,GO:0005829 - cytosol; GO:0005886 - plasma membrane,GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity
bhsA,repressor,adaptations,GO:0006950 - response to stress; GO:0044010 - single-species biofilm formation; GO:0046688 - response to copper ion,GO:0009279 - cell outer membrane; GO:0016020 - membrane,
ampE,repressor,drug resistance/sensitivity; membrane,GO:0046677 - response to antibiotic,GO:0005886 - plasma membrane; GO:0016020 - membrane,
ampD,repressor,"murein turnover, recycling; murein",GO:0009253 - peptidoglycan catabolic process; GO:0009254 - peptidoglycan turnover; GO:0071555 - cell wall organization,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0008745 - N-acetylmuramoyl-L-alanine amidase activity; GO:0009392 - N-acetyl-anhydromuramoyl-L-alanine amidase activity; GO:0016787 - hydrolase activity; GO:0046872 - metal ion binding
narQ,repressor,"anaerobic respiration; posttranslational modification; two component regulatory systems (external signal); covalent modification, demodification, maturation; membrane",GO:0000160 - phosphorelay signal transduction system; GO:0007165 - signal transduction; GO:0016310 - phosphorylation; GO:0042128 - nitrate assimilation; GO:0051716 - cellular response to stimulus; GO:0071249 - cellular response to nitrate; GO:0071250 - cellular response to nitrite,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0000155 - phosphorelay sensor kinase activity; GO:0000166 - nucleotide binding; GO:0004672 - protein kinase activity; GO:0004673 - protein histidine kinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0046983 - protein dimerization activity
aegA,repressor,nitrogen metabolism,GO:0019628 - urate catabolic process,GO:0005829 - cytosol,"GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
hflC,repressor,"proteins/peptides/glycopeptides; proteases, cleavage of compounds; prophage genes and phage related functions",GO:0009408 - response to heat,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0098796 - membrane protein complex; GO:0098797 - plasma membrane protein complex,GO:0005515 - protein binding
hflX,repressor,ribosomes,GO:0009408 - response to heat; GO:0019042 - viral latency; GO:0032790 - ribosome disassembly; GO:0036289 - peptidyl-serine autophosphorylation; GO:0072344 - rescue of stalled ribosome,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0003924 - GTPase activity; GO:0005524 - ATP binding; GO:0005525 - GTP binding; GO:0016887 - ATP hydrolysis activity; GO:0019843 - rRNA binding; GO:0043022 - ribosome binding; GO:0043023 - ribosomal large subunit binding; GO:0046872 - metal ion binding; GO:0097216 - guanosine tetraphosphate binding
