Gene,Sign,locus
aaeR,-,b3243
aaeX,+,b3242
aaeA,+,b3241
aaeB,+,b3240
aceB,-,b4014
aceA,-,b4015
aceK,-,b4016
acnA,+,b1276
acnB,+,b0118
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
actP,+,b4067
yjcH,+,b4068
acs,+,b4069
aer,+,b3072
agp,+,b1002
aldA,+,b1415
aldB,+,b3588
ampD,-,b0110
ampE,-,b0111
ansB,+,b2957
araD,+,b0061
araA,+,b0062
araB,+,b0063
araC,+,b0064
ygeA,+,b2840
araE,+,b2841
araH,+,b4460
araG,+,b1900
araF,+,b1901
araH,+,b4460
araG,+,b1900
araF,+,b1901
araJ,+,b0396
araJ,-,b0396
argG,+,b3172
ascF,+,b2715
ascB,+,b2716
dcuA,+,b4138
aspA,+,b4139
azuR,-,b4434
azuC,-,b4663
azuR,-,b4434
azuC,-,b4663
bglG,+,b3723
bglB,+,b3721
bglF,+,b3722
bglG,+,b3723
bhsA,-,b1112
caiF,+,b0034
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
cas3,+,b2761
casA,-,b2760
casB,-,b2759
casC,-,b2758
casD,-,b2757
casE,-,b2756
cas1,-,b2755
cas2,-,b2754
cdd,+,b2143
cdd,-,b2143
cdd,-,b2143
cdd,+,b2143
chbG,+,b1733
chbF,+,b1734
chbR,+,b1735
chbA,+,b1736
chbC,+,b1737
chbB,+,b1738
chiZ,+,b4808
chiQ,+,b0682
chiP,+,b0681
cirA,+,b2155
cirA,+,b2155
citG,-,b0613
citX,-,b0614
citF,-,b0615
citE,-,b0616
citD,-,b0617
citC,-,b0618
comR,-,b1111
cpdB,+,b4213
crp,+,b3357
crp,-,b3357
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
gabP,+,b2663
gabT,+,b2662
gabD,+,b2661
lhgD,+,b2660
glaH,+,b2659
csiE,+,b2535
csiE,+,b2535
cspD,+,b0880
cspD,+,b0880
cspE,+,b0623
csqR,+,b3884
csqR,-,b3884
csrC,-,b4457
csrC,-,b4457
csrC,-,b4457
cstA,+,b0598
cyaA,-,b3806
cyaR,+,b4438
cyaR,+,b4438
cyaR,+,b4438
cyoE,+,b0428
cyoD,+,b0429
cyoC,+,b0430
cyoB,+,b0431
cyoA,+,b0432
cyoE,+,b0428
cyoD,+,b0429
cyoC,+,b0430
cyoB,+,b0431
cyoA,+,b0432
cytR,+,b3934
cytR,-,b3934
dadX,+,b1190
dadA,+,b1189
dadX,-,b1190
dadA,-,b1189
dadX,+,b1190
dadA,+,b1189
dadA,+,b1189
dadX,+,b1190
dadA,+,b1189
dadX,+,b1190
dadX,+,b1190
dadA,+,b1189
dadX,+,b1190
dadA,+,b1189
dctA,+,b3528
fumB,+,b4122
dcuB,+,b4123
dcuR,+,b4124
deoC,+,b4381
deoA,+,b4382
deoB,+,b4383
deoD,+,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,+,b4381
deoA,+,b4382
deoB,+,b4383
deoD,+,b4384
dgoR,+,b4479
dgoK,+,b3693
dgoA,+,b4477
dgoD,+,b4478
dgoT,+,b3691
dpiA,-,b0620
dpiB,-,b0619
dsdA,+,b2366
dsdX,+,b2365
dsdA,+,b2366
dsdX,+,b2365
dsdA,+,b2366
dusB,+,b3260
fis,+,b3261
dusB,+,b3260
fis,+,b3261
dusB,-,b3260
fis,-,b3261
dusB,+,b3260
fis,+,b3261
ebgA,+,b3076
ebgC,+,b3077
entC,+,b0593
entE,+,b0594
entB,+,b0595
entA,+,b0596
entH,+,b0597
entC,+,b0593
entE,+,b0594
entB,+,b0595
entA,+,b0596
entH,+,b0597
fbaA,+,b2925
pgk,+,b2926
epd,+,b2927
pgk,+,b2926
epd,+,b2927
fbaA,+,b2925
exuR,-,b3094
exuT,+,b3093
exuT,+,b3093
sroD,+,b1805
fadH,+,b3081
fadL,+,b2344
feaB,+,b1385
feaR,+,b1384
fecE,+,b4287
fecD,+,b4288
fecC,+,b4289
fecB,+,b4290
fecA,+,b4291
entD,+,b0583
fepA,+,b0584
fiu,+,b0805
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
flhC,+,b1891
flhD,+,b1892
pflB,+,b0903
focA,+,b0904
frlR,+,b3375
frlD,+,b3374
frlC,+,b4474
frlB,+,b3371
frlA,+,b3370
fucO,+,b2799
fucA,+,b2800
fucO,+,b2799
fucA,+,b2800
fucP,+,b2801
fucI,+,b2802
fucK,+,b2803
fucU,+,b2804
fucR,+,b2805
fucP,+,b2801
fucI,+,b2802
fucK,+,b2803
fucU,+,b2804
fucR,+,b2805
fumC,+,b1611
fumA,+,b1612
fumC,+,b1611
fumA,+,b1612
fumC,+,b1611
fumA,+,b1612
fumC,+,b1611
fumA,+,b1612
fumC,+,b1611
fumA,+,b1612
fumC,+,b1611
fumC,,b1611
fur,+,b0683
fur,+,b0683
gadX,-,b3516
gadA,-,b3517
gadX,-,b3516
gadA,-,b3517
gadC,-,b1492
gadB,-,b1493
gadC,-,b1492
gadB,-,b1493
gadF,-,b4718
mdtF,-,b3514
mdtE,-,b3513
gadE,-,b3512
galM,+,b0756
galK,+,b0757
galT,+,b0758
galE,+,b0759
galK,+,b0757
galT,+,b0758
galE,+,b0759
galM,+,b0756
galK,-,b0757
galT,-,b0758
galE,-,b0759
galM,-,b0756
galP,+,b2943
galS,+,b2151
gapA,+,b1779
gatD,+,b2091
gatC,+,b2092
gatB,+,b2093
gatA,+,b2094
gatZ,+,b2095
gatY,+,b2096
gcd,-,b0124
gcvP,+,b2903
gcvH,+,b2904
gcvT,+,b2905
gcvP,+,b2903
gcvH,+,b2904
gcvT,+,b2905
gdhA,-,b1761
glcC,+,b2980
glgP,+,b3428
glgA,+,b3429
glgC,+,b3430
glgS,+,b3049
glnZ,+,b4836
glnA,+,b3870
glnG,+,b3868
glnL,+,b3869
glnZ,-,b4836
glnA,-,b3870
glnG,-,b3868
glnL,-,b3869
glnZ,-,b4836
glnA,-,b3870
glnG,-,b3868
glnL,-,b3869
glpA,+,b2241
glpB,+,b2242
glpC,+,b2243
glpA,+,b2241
glpB,+,b2242
glpC,+,b2243
glpA,+,b2241
glpB,+,b2242
glpC,+,b2243
glpD,+,b3426
glpR,+,b3423
glpG,+,b3424
glpE,+,b3425
glpX,+,b3925
glpK,+,b3926
glpF,+,b3927
glpX,+,b3925
glpK,+,b3926
glpF,+,b3927
glpQ,+,b2239
glpT,+,b2240
glpQ,+,b2239
glpT,+,b2240
glpQ,+,b2239
glpT,+,b2240
gltA,+,b0720
gltB,-,b3212
gltD,-,b3213
gltF,-,b3214
gltB,-,b3212
gltD,-,b3213
gltF,-,b3214
gntK,+,b3437
gntU,+,b4476
gntP,+,b4321
gntP,+,b4321
gntP,+,b4321
gntT,+,b3415
gntT,+,b3415
gntT,+,b3415
nfuA,+,b3414
yhgH,+,b3413
grcA,+,b2579
grpE,+,b2614
guaA,+,b2507
guaB,+,b2508
gyrA,+,b2231
hflC,-,b4175
hflK,-,b4174
hflX,-,b4173
hfq,-,b4172
hicB,+,b1438
hicA,+,b4532
hlyE,+,b1182
hofM,+,b3395
hofN,+,b3394
hofO,+,b3393
hofP,+,b3392
hofM,+,b3395
hofN,+,b3394
hofO,+,b3393
hofP,+,b3392
hpt,+,b0125
hupA,+,b4000
hupB,+,b0440
focB,+,b2492
hyfR,+,b2491
hyfJ,+,b2490
hyfI,+,b2489
hyfH,+,b2488
hyfG,+,b2487
hyfF,+,b2486
hyfE,+,b2485
hyfD,+,b2484
hyfC,+,b2483
hyfB,+,b2482
hyfA,+,b2481
idnR,+,b4264
idnT,+,b4265
idnO,+,b4266
idnD,+,b4267
idnR,+,b4264
idnT,+,b4265
idnO,+,b4266
idnD,+,b4267
idnK,+,b4268
idnK,+,b4268
ivbL,+,b3672
ilvN,+,b3670
ilvB,+,b3671
agaA,+,b3135
agaW,+,b3134
agaV,+,b3133
kbaZ,+,b3132
lacA,+,b0342
lacY,+,b0343
lacZ,+,b0344
lacA,+,b0342
lacY,+,b0343
lacZ,+,b0344
lacA,-,b0342
lacY,-,b0343
lacZ,-,b0344
lacA,-,b0342
lacY,-,b0343
lacZ,-,b0344
lacA,-,b0342
lacY,-,b0343
lacZ,-,b0344
lacA,-,b0342
lacY,-,b0343
lacZ,-,b0344
ldtB,+,b0819
ldtB,-,b0819
lgoR,+,b4357
lpd,-,b0116
tam,+,b1519
lsrG,+,b1518
lsrF,+,b1517
lsrB,+,b1516
lsrD,+,b1515
lsrC,+,b1514
lsrA,+,b1513
tam,+,b1519
lsrG,+,b1518
lsrF,+,b1517
lsrB,+,b1516
lsrD,+,b1515
lsrC,+,b1514
lsrA,+,b1513
lsrK,+,b1511
lsrR,+,b1512
lsrK,+,b1511
lsrR,+,b1512
malH,+,b4807
malG,+,b4032
malF,+,b4033
malE,+,b4034
malH,+,b4807
malG,+,b4032
malF,+,b4033
malE,+,b4034
malH,+,b4807
malG,+,b4032
malF,+,b4033
malE,+,b4034
malH,+,b4807
malG,+,b4032
malF,+,b4033
malE,+,b4034
malI,-,b1620
malI,+,b1620
malK,+,b4035
lamB,+,b4036
malM,+,b4037
malK,+,b4035
lamB,+,b4036
malM,+,b4037
malK,+,b4035
lamB,+,b4036
malM,+,b4037
malK,+,b4035
lamB,+,b4036
malM,+,b4037
malS,+,b3571
malT,+,b3418
malX,+,b1621
malY,+,b1622
malX,+,b1621
malY,+,b1622
manA,-,b1613
manA,-,b1613
manA,+,b1613
manX,+,b1817
manY,+,b1818
manZ,+,b1819
manX,+,b1817
manY,+,b1818
manZ,+,b1819
marR,+,b1530
marA,+,b1531
marB,+,b1532
mcaS,+,b4426
mdh,+,b3236
melA,+,b4119
melB,+,b4120
