Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of aaeRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aaeRp	-	aaeR	b3243
Regulation of aaeXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aaeXp	+	aaeX // aaeA // aaeB	b3242 // b3241 // b3240
Regulation of aceBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aceBp	-	aceB // aceA // aceK	b4014 // b4015 // b4016
Regulation of acnAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acnAp2	+	acnA	b1276
Regulation of acnBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acnBp1	+	acnB	b0118
Regulation of acsp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp2	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of acsp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	acsp2	+	actP // yjcH // acs	b4067 // b4068 // b4069
Regulation of aerp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aerp	+	aer	b3072
Regulation of agpp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	agpp	+	agp	b1002
Regulation of aldAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aldAp	+	aldA	b1415
Regulation of aldBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aldBp	+	aldB	b3588
Regulation of ampD by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ampD	-	ampD // ampE	b0110 // b0111
Regulation of ansBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ansBp2	+	ansB	b2957
Regulation of araBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araBp	+	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araCp	+	araC	b0064
Regulation of araEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araEp	+	ygeA // araE	b2840 // b2841
Regulation of araFp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araFp1	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araFp3	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araJp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araJp	+	araJ	b0396
Regulation of araJp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araJp	-	araJ	b0396
Regulation of argGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	argGp	+	argG	b3172
Regulation of ascFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ascFp	+	ascF // ascB	b2715 // b2716
Regulation of aspAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aspAp	+	dcuA // aspA	b4138 // b4139
Regulation of azuCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	azuCp	-	azuR // azuC	b4434 // b4663
Regulation of azuCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	azuCp	-	azuR // azuC	b4434 // b4663
Regulation of bglGp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	bglGp1	+	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	bglGp2	+	bglG	b3723
Regulation of bhsAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	bhsAp	-	bhsA	b1112
Regulation of caiFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	caiFp	+	caiF	b0034
Regulation of caiTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	caiTp	+	caiE // caiD // caiC // caiB // caiA // caiT	b0035 // b0036 // b0037 // b0038 // b0039 // b0040
Regulation of cas3p by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cas3p	+	cas3	b2761
Regulation of casAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	casAp	-	casA // casB // casC // casD // casE // cas1 // cas2	b2760 // b2759 // b2758 // b2757 // b2756 // b2755 // b2754
Regulation of cddp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cddp	+	cdd	b2143
Regulation of cddp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cddp	-	cdd	b2143
Regulation of cddp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cddp	-	cdd	b2143
Regulation of cddp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cddp	+	cdd	b2143
Regulation of chbBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	chbBp	+	chbG // chbF // chbR // chbA // chbC // chbB	b1733 // b1734 // b1735 // b1736 // b1737 // b1738
Regulation of chiZp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	chiZp	+	chiZ // chiQ // chiP	b4808 // b0682 // b0681
Regulation of cirAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cirAp1	+	cirA	b2155
Regulation of cirAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cirAp2	+	cirA	b2155
Regulation of citCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	citCp2	-	citG // citX // citF // citE // citD // citC	b0613 // b0614 // b0615 // b0616 // b0617 // b0618
Regulation of comRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	comRp	-	comR	b1111
Regulation of cpdBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cpdBp	+	cpdB	b4213
Regulation of crpp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	crpp1	+	crp	b3357
Regulation of crpp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	crpp1	-	crp	b3357
Regulation of csgDp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csgDp1	+	csgG // csgF // csgE // csgD	b1037 // b1038 // b1039 // b1040
Regulation of csgDp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csgDp1	+	csgG // csgF // csgE // csgD	b1037 // b1038 // b1039 // b1040
Regulation of csgDp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csgDp3	+	csgG // csgF // csgE // csgD	b1037 // b1038 // b1039 // b1040
Regulation of csgDp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csgDp3	+	csgG // csgF // csgE // csgD	b1037 // b1038 // b1039 // b1040
Regulation of csiDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csiDp	+	gabP // gabT // gabD // lhgD // glaH	b2663 // b2662 // b2661 // b2660 // b2659
Regulation of csiEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csiEp	+	csiE	b2535
Regulation of csiEp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csiEp2	+	csiE	b2535
Regulation of cspDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cspDp	+	cspD	b0880
Regulation of cspDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cspDp	+	cspD	b0880
Regulation of cspEp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cspEp2	+	cspE	b0623
Regulation of csqRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csqRp	+	csqR	b3884
Regulation of csqRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csqRp	-	csqR	b3884
Regulation of csrCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csrCp	-	csrC	b4457
Regulation of csrCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csrCp	-	csrC	b4457
Regulation of csrCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csrCp	-	csrC	b4457
Regulation of cstAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cstAp1	+	cstA	b0598
Regulation of cyaAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaAp	-	cyaA	b3806
Regulation of cyaRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaRp	+	cyaR	b4438
Regulation of cyaRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaRp2	+	cyaR	b4438
Regulation of cyaRp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaRp3	+	cyaR	b4438
Regulation of cyoAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyoAp	+	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyoAp	+	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cytRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cytRp	+	cytR	b3934
Regulation of cytRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cytRp	-	cytR	b3934
Regulation of dadAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp1	+	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp1	+	dadX // dadA	b1190 // b1189
Regulation of dadAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp2	+	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp2	+	dadA // dadX	b1189 // b1190
Regulation of dadAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp3	+	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp3	+	dadX // dadA	b1190 // b1189
Regulation of dctAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dctAp	+	dctA	b3528
Regulation of dcuBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dcuBp1	+	fumB // dcuB	b4122 // b4123
Regulation of dcuRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dcuRp	+	dcuR	b4124
Regulation of deoCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	deoCp2	+	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	deoCp2	+	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of dgoRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dgoRp	+	dgoR // dgoK // dgoA // dgoD // dgoT	b4479 // b3693 // b4477 // b4478 // b3691
Regulation of dpiBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dpiBp1	-	dpiA // dpiB	b0620 // b0619
Regulation of dsdAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dsdAp	+	dsdA	b2366
Regulation of dsdXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dsdXp	+	dsdX // dsdA	b2365 // b2366
Regulation of dsdXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dsdXp	+	dsdX // dsdA	b2365 // b2366
Regulation of dusBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dusBp	+	dusB // fis	b3260 // b3261
Regulation of dusBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dusBp	+	dusB // fis	b3260 // b3261
Regulation of dusBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dusBp	-	dusB // fis	b3260 // b3261
Regulation of dusBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dusBp	+	dusB // fis	b3260 // b3261
Regulation of ebgAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ebgAp	+	ebgA // ebgC	b3076 // b3077
Regulation of entCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	entCp	+	entC // entE // entB // entA // entH	b0593 // b0594 // b0595 // b0596 // b0597
Regulation of entCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	entCp	+	entC // entE // entB // entA // entH	b0593 // b0594 // b0595 // b0596 // b0597
Regulation of epdp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	epdp	+	fbaA // pgk // epd	b2925 // b2926 // b2927
Regulation of epdp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	epdp2	+	pgk // epd // fbaA	b2926 // b2927 // b2925
Regulation of exuRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	exuRp2	-	exuR	b3094
Regulation of exuTp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	exuTp2	+	exuT	b3093
Regulation of exuTp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	exuTp2	+	exuT	b3093
Regulation of fadDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fadDp	+	sroD // fadD	b1805
Regulation of fadHp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fadHp	+	fadH	b3081
Regulation of fadLp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fadLp	+	fadL	b2344
Regulation of feaBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	feaBp1	+	feaB	b1385
Regulation of feaRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	feaRp2	+	feaR	b1384
