Nutrient conditions,Growth rate (1/h),Translational elongation rate (aa/s),Error (aa/s)
RDM + 0.2% glucose + 10 mM NH4Cl,1.8,16.7,0.3
0.2% glucose + cAA + 10 mM NH4Cl,1.28,16.3,0.1
10 mM glucose-6-phosphate + 10 mM gluconate + 10 mM NH4Cl,1.12,16.1,0.2
0.2% glucose + 10 mM NH4Cl,0.98,15.9,0.2
0.2% xylose + 10 mM NH4Cl,0.75,14.9,0.1
0.2% glycerol + 10 mM NH4Cl,0.69,15.0,0.2
0.2% fructose + 10 mM NH4Cl,0.69,14.7,0.0
0.2% sorbitol + 10 mM NH4Cl,0.55,13.7,0.2
0.2% galactose + 10 mM NH4Cl,0.5,13.1,0.3
60 mM acetate + 10 mM NH4Cl,0.46,12.6,0.2
0.2% mannose + 10 mM NH4Cl,0.41,13.0,0.3
0.1% mannose + 10 mM NH4Cl,0.34,12.4,0.1
NQ1261 (ΔptsG) strain in 0.2% glucose + 10 mM NH4Cl,0.38,12.4,0.2
20 mM potassium aspartate,0.33,12.0,0.3
0.075% mannose + 10 mM NH4Cl,0.29,12.1,0.1
0.2% glycerol + 10 mM Arginine,0.20,11.6,0.2
20 mM aspartate + 10 mM NH4Cl,0.23,12.3,0.2
20 mM glutamate + 10 mM NH4Cl,0.13,10.7,0.1
0.2% glycerol + 20 mM Threonine,0.035,9.4,0.3
Stationary phase,0,8.1,0.2
