Gene names,Mori sector,wt_mass_fraction_poor,wt_mass_fraction_rich,rela_mass_fraction_poor,rela_mass_fraction_rich,wt_mass_fraction_poor_err,wt_mass_fraction_rich_err,rela_mass_fraction_poor_err,rela_mass_fraction_rich_err
insH11;insH10;insH9;insH8;insH7;insH6;insH4;insH3;insH2;insH1;insH5,Unknown,3.0031021976360474e-05,2.1746871362033497e-05,6.9885953023112994e-06,8.265623985877284e-06,5.373821247375671e-06,4.5362752725243e-07,4.4381426954964506e-07,7.74853971571706e-07
mrcB,S',0.00017796538375164546,0.00022818183562699332,0.00025763750357952006,0.0003069079169101068,9.38764853121786e-06,1.7951974392818349e-06,2.548309841083024e-06,9.66832250878189e-06
,Unknown,0.0,1.9152079990324763e-06,1.9889154927236682e-07,2.7211640610390375e-06,0.0,1.501631758224854e-07,1.0067122650434005e-08,1.2498118764193526e-07
,Unknown,0.0,2.615251567204938e-05,1.9889154927236682e-07,1.5437906444027485e-05,0.0,1.2698135548943007e-08,1.0067122650434005e-08,4.361674625751863e-08
,Unknown,0.0,0.0026684636426636734,1.9889154927236682e-07,0.001671796467270472,0.0,3.144877286577843e-05,1.0067122650434005e-08,6.2727634652339414e-06
,Unknown,2.8876400672195176e-05,1.9152079990324763e-06,1.8461383005080154e-05,2.7211640610390375e-06,1.5282375568346192e-07,1.501631758224854e-07,4.641909437388283e-07,1.2498118764193526e-07
,Unknown,2.8876400672195176e-05,2.615251567204938e-05,1.8461383005080154e-05,1.5437906444027485e-05,1.5282375568346192e-07,1.2698135548943007e-08,4.641909437388283e-07,4.361674625751863e-08
,Unknown,2.8876400672195176e-05,0.0026684636426636734,1.8461383005080154e-05,0.001671796467270472,1.5282375568346192e-07,3.144877286577843e-05,4.641909437388283e-07,6.2727634652339414e-06
,Unknown,0.0022388252132213623,1.9152079990324763e-06,0.0015955736531874948,2.7211640610390375e-06,6.280814288658898e-05,1.501631758224854e-07,9.099889540890426e-06,1.2498118764193526e-07
,Unknown,0.0022388252132213623,2.615251567204938e-05,0.0015955736531874948,1.5437906444027485e-05,6.280814288658898e-05,1.2698135548943007e-08,9.099889540890426e-06,4.361674625751863e-08
,Unknown,0.0022388252132213623,0.0026684636426636734,0.0015955736531874948,0.001671796467270472,6.280814288658898e-05,3.144877286577843e-05,9.099889540890426e-06,6.2727634652339414e-06
yciZ,S',6.286160942302829e-06,5.195770969632987e-06,1.2505607549734127e-05,1.007437706680454e-05,2.2232043803836572e-07,1.0143613436036554e-06,1.095344480755643e-06,1.5630211412992868e-06
thiS,U,1.961080926705463e-05,2.554037237749353e-05,1.4771878273449044e-05,2.558607124054975e-05,1.0138066444028543e-06,4.0558746315560416e-07,2.1114525940392835e-07,3.7580954215947593e-07
yfjS,U,2.0921672240456452e-07,4.0812513072385917e-07,1.7851341888972024e-07,2.2726770275647514e-07,2.0921672240456452e-07,5.348154440902013e-08,1.7851341888972024e-07,2.4541579511651248e-08
gnd,A,0.002112842029263884,0.0035033230345312494,0.003745565438083063,0.005669980351486983,8.27759356144223e-05,9.361997973664172e-05,8.77839643838058e-05,0.00039624481907414577
frdA,S',4.34604273935247e-05,0.00039607157476807917,0.0001007962009262184,0.00018181979023598868,1.254771887394739e-05,3.665840610449613e-05,1.886726429374048e-05,4.158251894054114e-06
gdhA,U,0.004781834339236325,0.0004071422947771418,0.003127734679287084,0.001270601194773301,0.00012832322318403382,1.799252045064879e-05,5.836987228787383e-05,3.2854875434457586e-05
ndh,A',0.0003270483826824539,0.0006222839958238518,0.0002846187246645244,0.0003620962829472998,8.298691367135261e-06,1.2902359252611349e-06,5.96096369332683e-06,7.791577210312283e-06
sodA,S,0.0024577503598310745,0.0012797224119344792,0.0020547571427310405,0.0014597868387627002,3.279874320010075e-05,2.878754948653099e-05,0.0001570341137805332,5.651187396508311e-05
nrdA,S,0.0010900385514358945,0.0016111994139723757,0.0011617614153400107,0.0013478234996271519,1.3075532108643585e-06,2.5705626355527447e-05,1.429700987472856e-05,6.4688331634292e-05
malP,A,2.3928531548886502e-05,2.0179319908139277e-05,6.325787253250355e-05,6.737072470926252e-05,9.479753961916668e-07,1.7547213913957098e-06,3.6406791263180334e-06,3.6964390261567305e-06
aspC,A,0.0026380286883470414,0.0017805523763662254,0.0027513228862175642,0.0027378306262398604,6.174079101598146e-05,9.238149393978696e-07,9.40673009541418e-05,6.486402496896264e-06
thrB,A,0.0005487835530804679,0.00015536404301663237,0.0010870461893330713,0.0008324401139778413,1.4823330186054242e-05,3.066121065666526e-06,5.177117873143193e-06,4.47567247642302e-05
mtlA,S,0.000175075637197551,0.0001603470585923245,0.0004134802805017655,0.00036042469846220824,2.5663068411363097e-06,3.400254343319171e-05,1.509782937095163e-06,1.8853394969852686e-05
thrA,A',0.004731894570823012,0.0014665796053195965,0.00867443701288454,0.0066115152321616286,1.2309175351897343e-05,1.5931786362321566e-05,0.00015396639391307507,9.721027271501455e-05
metL,R,0.0006750870326432125,0.00035496813601041744,0.0005580718788334119,0.00034655832087517567,1.3979807414024647e-06,1.3507935455653726e-05,1.9727857028233194e-06,2.6347795906050264e-05
rpoD,S,0.0010282576239297675,0.001336683212663341,0.0011110200262977137,0.001408320263223681,1.5002220374249736e-05,2.607393678105165e-05,5.8594636007478374e-05,3.3088104352583885e-05
polA,S',0.0004683297836528245,0.0005823528970486903,0.0005293855297241461,0.0006345403446791624,2.0770481122402205e-05,2.390985839464217e-07,2.247401816160506e-05,1.0750163564776703e-05
phoA,U,2.967310459223647e-06,3.362912782889866e-06,9.65493101873937e-06,1.8953146834926274e-05,1.0657618496844153e-07,5.338490214936988e-07,9.953360731566396e-07,6.62524209292024e-07
lacZ,C',0.00010819917096797263,1.4451513879578014e-05,0.00025104353775103424,9.793566465988798e-05,2.3124751231004233e-06,2.0593697451543438e-06,0.00018576700780316015,1.5318187951975575e-05
lepB,C',0.00018067464502574156,0.00017264713207457437,0.00019377374125048385,0.0001728014401066326,1.2747280305767846e-06,3.925941868296098e-06,6.855649778106783e-06,1.159050373229683e-06
ansB,U,5.330780951662515e-07,4.369896548113735e-05,3.230922660399886e-06,4.428834795787768e-06,1.7845095747115683e-08,1.3938762035259204e-05,2.9921563279685385e-07,1.3889126416674704e-07
ampC,U,8.766043547053596e-06,1.1995560991376477e-05,7.446885964000442e-06,1.0139407712678317e-05,4.742729547765206e-07,5.58744706331729e-07,1.5136973457766894e-06,1.8831510783449116e-07
lysA,U,0.00041228897136333034,4.84941160587801e-05,0.00030666397614403294,0.00016968533278389656,4.493545479551664e-06,5.244841279682656e-06,1.162821843102925e-05,3.964867225450067e-06
ppc,A,0.0035833543765536775,0.0014202437555154049,0.004947836776905037,0.0041062946611516125,2.069697212819235e-05,2.4190282640025205e-05,2.2405990579333485e-05,6.0057281986151956e-05
aroH,R,0.00018596936637281836,0.000465167315369166,0.00014929690976550595,0.00028862035871644697,1.7607569750800137e-08,1.6909137800358916e-05,2.3814711074632647e-06,2.523447986923713e-05
aroF,U,0.0009402755740341586,5.3435840832113374e-05,0.0002817096747572491,0.0001133316278761442,2.760202189650853e-06,3.442821006517255e-06,1.6642585762799737e-05,2.2966629621824726e-06
ilvI,S,0.0006852001679494457,0.00010830658525730238,0.00079846211418801,0.00024100377100037996,1.4435182100406836e-05,8.490958423902967e-07,1.650152361613649e-05,1.2637881581378124e-05
ilvH,S,0.0002357278319884069,5.00261012880636e-05,0.00027032383816797377,0.00011133286726418672,6.522034856754367e-06,2.723176287071079e-06,1.7894633497200893e-06,1.3877953949482276e-06
trpE,U,0.0009625321179653324,0.00435345390275926,0.0004142326735941086,0.0008143812237920352,3.8426129761041255e-05,2.9482345481938576e-05,2.7309973783998524e-05,4.451708171174262e-05
pabA,A',1.4599885745572823e-05,1.2024165845604065e-05,7.852806119042998e-06,9.154177487252501e-06,9.083562522223354e-06,1.8480595446473618e-06,5.347693522031047e-07,2.0632291738597844e-06
trpGD,U,0.0008224712005830599,0.004079416811143515,0.000361472318392511,0.0008524507441575352,4.810104190897612e-06,2.017697097798747e-06,7.85444245204211e-06,1.6182432284174604e-05
trpC,U,0.000505133805524317,0.0016182985927354525,0.00025390652539982773,0.0003955732405460363,2.67197541750755e-05,4.185977097714085e-05,1.0735981051171139e-05,1.7135666716394378e-06
dsdA,S,2.714228190757403e-05,0.0002620611501743352,4.424621779224189e-05,0.0001700153893291743,1.570014191138077e-06,1.6589638357418425e-05,1.1922209699012256e-06,4.57792348084665e-06
thrC,A',0.0031739317895339595,0.0008881442320079167,0.00473583574701827,0.003519504192744607,3.37485755768337e-05,6.388894078473333e-06,7.737427651701226e-06,6.942674879335201e-05
metB,U,0.0003259166318000896,0.00011162424566609231,0.00024419664247857627,0.00021615626457153808,1.551238062849164e-05,2.6321674148729442e-06,2.2484756156752308e-07,2.092104225371707e-06
cyaA,A',0.00013246803420388588,0.00016831233384064436,0.00017064368226214695,0.00023926970379983917,1.4597835934296863e-07,4.5254392686230644e-07,2.025326587924871e-06,1.8192951632746445e-07
manA,C',0.0001862564671551299,0.0003641513860089279,0.0002853105085530536,0.00032030562840302504,2.6928491469370718e-06,3.4924103147054706e-05,7.997834739589745e-06,1.2823272325801011e-05
trpS,A,0.0009149416950711361,0.001208655023494725,0.0011915495711104667,0.0013940837095064106,3.110149693591962e-05,0.00014457941286152355,0.00011367738808148954,1.0896523327705103e-05
ileS,R,0.0019098780748535594,0.00187608720609045,0.0021140873821875565,0.002338636720987615,6.580423450122251e-06,4.357612027504137e-05,4.98161467506566e-06,3.779545534578839e-05
alaS,R,0.0025669523442139568,0.003138589450421204,0.0027110765388888595,0.0031111463839086258,7.250775162091685e-05,0.00021267228185363517,3.9442020729097685e-05,4.508993918421228e-05
