Gene name,Gene locus,Protein ID,A1-1,A1-2,A1-3,C1,F1-1,F1-2,F1-3,C2,C3,C4,C5,C6,C7,C8,D6,D7,D8,F4,F5,F6,F7,F8,D1,D2,D3,D4,D5,F2,F3,A2,E1,E2,E3,E4,H1,H5,Ctrend,Atrend,Rtrend,group
aaeA,b3241,P46482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
aaeB,b3240,P46481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
aaeR,b3243,P67662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
aaeX,b3242,P46478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
aas,b2836,P31119,4.416577e-05,4.82415e-05,4.631348e-05,4.589255e-05,4.818883e-05,4.537313e-05,4.619257e-05,3.51293e-05,4.541657e-05,3.325287e-05,3.662575e-05,5.477982e-05,3.746454e-05,3.134586e-05,3.998069e-05,3.65404e-05,4.826641e-05,3.83708e-05,4.286973e-05,3.5521e-05,3.843743e-05,4.426079e-05,4.394126e-05,4.870917e-05,4.367019e-05,5.324411e-05,4.178143e-05,3.812193e-05,4.187318e-05,4.926621e-05,5.042973e-05,5.028742e-05,5.515127e-05,5.818256e-05,4.165754e-05,4.833899e-05,up,up,up,S'
aat,b0885,P0A8P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
abgA,b1338,P77357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
abgB,b1337,P76052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
abgR,b1339,P77744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
abgT,b1336,P46133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No sector
