Growth Rate,Growth Rate Error,Concentration,Concentration Error,Strain,Carbon Source,Dox,Date Sampling
0.932697,0.000000,28.029890,7.166945,WT,glucose,0.000000,20220222
0.907332,0.000000,19.245597,3.396529,WT,glucose,0.000000,20220223
0.913540,0.000000,46.836621,6.418786,pTetRelA,glucose,0.000000,20220308
0.338748,0.000000,62.978773,13.516679,WT,acetate,0.000000,20220309
0.648156,0.000000,27.530394,3.419255,WT,succinate,0.000000,20220310
0.447907,0.000000,398.340065,3.135770,pTetRelA,glucose,1.100000,20220314
0.555879,0.000000,35.362053,5.538916,WT,glycerol,0.000000,20220328
0.515821,0.000000,42.206403,5.669287,pTetRelA,glycerol,0.000000,20220329
0.791281,0.000000,71.758422,7.189250,pTetRelA,glucose,0.200000,20220426
0.543426,0.000000,45.364538,6.226826,pTetRelA,glycerol,0.000000,20220429
0.391466,0.000000,111.913231,4.039325,pTetRelA,glycerol,0.200000,20220504
0.456706,0.000000,96.601417,2.227872,pTetRelA,glycerol,0.200000,20220510
0.288723,0.000000,250.802312,16.876408,pTetRelA,glycerol,0.400000,20220511
0.363634,0.000000,134.994570,8.565439,pTetRelA,glycerol,0.250000,20220512
0.329194,0.000000,119.981214,14.983019,pTetRelA,glycerol,0.300000,20220513
0.441984,0.000000,95.736677,15.757547,pTetRelA,glycerol,0.150000,20220517
0.466614,0.000000,72.412007,9.665323,pTetRelA,glycerol,0.100000,20220517
0.527373,0.000000,47.627055,0.270343,pTetRelA,succinate,0.000000,20220519
0.378529,0.000000,184.787747,12.641833,pTetRelA,succinate,0.400000,20220520
0.463834,0.000000,109.266865,6.498741,pTetRelA,succinate,0.200000,20220524
0.584101,0.000000,67.449417,6.062275,pTetRelA,succinate,0.100000,20220531
0.905538,0.004425,23.801600,2.411669,WT,glucose,0.000000,20220916
0.157489,0.000000,93.131331,7.421874,WT,glutamate,0.000000,20220713
0.151211,0.000000,61.508249,19.345289,WT,aspartate,0.000000,20220713
0.370833,0.000000,46.908430,9.382755,WT,acetate,0.000000,20220705
0.575755,0.000000,166.085775,9.064234,pTetRelA,glucose,0.800000,20220411
0.668607,0.000000,120.625847,7.595680,pTetRelA,glucose,0.500000,20220412
0.430631,0.000000,81.385160,9.258655,pTetRelA,glycerol,0.200000,20220420
0.426679,0.000000,290.587132,15.592901,pTetRelA,glucose,0.800000,20220422
0.851570,0.000000,40.279177,0.183961,pTetRelA,glucose,0.000000,20220422
