Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
rrsA,repressor,"rRNA, stable RNA; translation; ribosomes",,,
rrfA,repressor,"rRNA, stable RNA; translation; ribosomes",,,
rrlA,repressor,"rRNA, stable RNA; translation; ribosomes",,,
alaT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
ileT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrsB,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022627 - cytosolic small ribosomal subunit,
rrlB,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
gltT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrfB,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
gltU,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrsC,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022627 - cytosolic small ribosomal subunit,
rrfC,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
rrlC,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
rrfF,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
ileU,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrsD,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022627 - cytosolic small ribosomal subunit,
rrlD,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
thrV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
alaU,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrfD,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
rrsE,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022627 - cytosolic small ribosomal subunit,
rrlE,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
rrfE,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
gltV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrfG,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
rrsG,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022627 - cytosolic small ribosomal subunit,
gltW,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrlG,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
rrlH,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
ileV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rrsH,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022627 - cytosolic small ribosomal subunit,
rrfH,repressor,"rRNA, stable RNA; translation; ribosomes",GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0022625 - cytosolic large ribosomal subunit,
alaV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
fis,repressor,"DNA recombination; Transcription related; nucleoproteins, basic proteins; activator; repressor",GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0009314 - response to radiation; GO:0032359 - provirus excision; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription; GO:0045911 - positive regulation of DNA recombination; GO:0051276 - chromosome organization,GO:0000786 - nucleosome; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009295 - nucleoid; GO:0031421 - invertasome; GO:0032993 - protein-DNA complex,"GO:0000976 - transcription cis-regulatory region binding; GO:0001046 - core promoter sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0043565 - sequence-specific DNA binding; GO:0044374 - sequence-specific DNA binding, bending"
dusB,repressor,RNA modification,GO:0002943 - tRNA dihydrouridine synthesis; GO:0008033 - tRNA processing; GO:0009314 - response to radiation,GO:0005829 - cytosol,GO:0000049 - tRNA binding; GO:0003723 - RNA binding; GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0017150 - tRNA dihydrouridine synthase activity; GO:0050660 - flavin adenine dinucleotide binding
pyrB,repressor,pyrimidine ribonucleotide biosynthesis,GO:0006207 - 'de novo' pyrimidine nucleobase biosynthetic process; GO:0006221 - pyrimidine nucleotide biosynthetic process; GO:0006520 - amino acid metabolic process; GO:0006541 - glutamine metabolic process; GO:0044205 - 'de novo' UMP biosynthetic process; GO:0070207 - protein homotrimerization,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009347 - aspartate carbamoyltransferase complex,GO:0004070 - aspartate carbamoyltransferase activity; GO:0004088 - carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; GO:0005515 - protein binding; GO:0016597 - amino acid binding; GO:0016740 - transferase activity; GO:0016743 - carboxyl- or carbamoyltransferase activity; GO:0042802 - identical protein binding
pyrL,repressor,pyrimidine biosynthesis,GO:0006221 - pyrimidine nucleotide biosynthetic process; GO:0019856 - pyrimidine nucleobase biosynthetic process; GO:0031555 - transcriptional attenuation,GO:0005829 - cytosol,
pyrI,repressor,pyrimidine biosynthesis; inhibition / activation of enzymes,GO:0006207 - 'de novo' pyrimidine nucleobase biosynthetic process; GO:0006221 - pyrimidine nucleotide biosynthetic process,GO:0005737 - cytoplasm; GO:0009347 - aspartate carbamoyltransferase complex,GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0046872 - metal ion binding
pcnB,repressor,RNA modification,GO:0006276 - plasmid maintenance; GO:0006378 - mRNA polyadenylation; GO:0006396 - RNA processing; GO:0006397 - mRNA processing; GO:0009451 - RNA modification; GO:0031123 - RNA 3'-end processing; GO:0043633 - polyadenylation-dependent RNA catabolic process; GO:0071047 - polyadenylation-dependent mRNA catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0000166 - nucleotide binding; GO:0003723 - RNA binding; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:1990817 - poly(A) RNA polymerase activity
folK,repressor,folic acid,GO:0009396 - folic acid-containing compound biosynthetic process; GO:0016310 - phosphorylation; GO:0046654 - tetrahydrofolate biosynthetic process; GO:0046656 - folic acid biosynthetic process,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003848 - 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity
mazE,dual,"defense/survival; starvation; other (mechanical, nutritional, oxidative stress); cell killing; drug resistance/sensitivity",GO:0006355 - regulation of DNA-templated transcription; GO:0040008 - regulation of growth; GO:0044010 - single-species biofilm formation,GO:0005829 - cytosol; GO:0032991 - protein-containing complex; GO:0110001 - toxin-antitoxin complex,GO:0003677 - DNA binding; GO:0003690 - double-stranded DNA binding; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0044877 - protein-containing complex binding; GO:0097351 - toxin sequestering activity
