Gene,Sign,locus
argI,+,b4254
argI,+,b4254
argS,-,b1876
hisP,-,b2306
hisM,-,b2307
hisQ,-,b2308
hisJ,-,b2309
argT,-,b2310
argX,-,b3796
hisR,-,b3797
leuT,-,b3798
proM,-,b3799
argX,-,b3796
hisR,-,b3797
leuT,-,b3798
proM,-,b3799
bolA,+,b0435
cfa,+,b1661
crp,-,b3357
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
gabP,+,b2663
gabT,+,b2662
gabD,+,b2661
lhgD,+,b2660
glaH,+,b2659
cspA,-,b3556
cspD,+,b0880
gluQ,-,b0144
dksA,-,b0145
gluQ,-,b0144
dksA,-,b0145
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
dsrA,+,b1954
dusB,-,b3260
fis,-,b3261
dusB,-,b3260
fis,-,b3261
efp,-,b4147
fabH,-,b1091
fabD,-,b1092
fabG,-,b1093
sroD,+,b1805
fadL,+,b2344
fadR,-,b1187
fimB,+,b4312
fimB,+,b4312
fkpA,+,b3347
isrC,+,b4435
flu,+,b2000
frr,-,b0172
ftsK,+,b0890
ftsQ,+,b0093
ftsA,+,b0094
ftsZ,+,b0095
ftsZ,+,b0095
ftsZ,+,b0095
gadX,+,b3516
gadA,+,b3517
glgP,+,b3428
glgA,+,b3429
glgC,+,b3430
glgP,+,b3428
glgA,+,b3429
glgC,+,b3430
ybaT,+,b0486
glsA,+,b0485
grxB,+,b1064
hisL,+,b2018
hisG,+,b2019
hisD,+,b2020
hisC,+,b2021
hisB,+,b2022
hisH,+,b2023
hisA,+,b2024
hisF,+,b2025
hisI,+,b2026
hlyE,+,b1182
hmp,+,b2552
hns,-,b1237
idlP,+,b4722
iraD,+,b4326
ilvH,-,b0078
ilvI,-,b0077
ilvL,+,b3766
ilvX,+,b4669
ilvG,+,b4488
ilvA,+,b3772
ilvD,+,b3771
ilvE,+,b3770
ilvM,+,b3769
infC,-,b1718
rplT,-,b1716
rpmI,-,b1717
infC,-,b1718
idlP,+,b4722
ytiD,+,b4721
ytiC,+,b4720
iraD,+,b4326
iraP,+,b0382
iraP,+,b0382
ivbL,+,b3672
ilvN,+,b3670
ilvB,+,b3671
leuL,+,b0075
leuD,+,b0071
leuC,+,b0072
leuB,+,b0073
leuA,+,b0074
leuO,+,b0076
leuX,-,b4270
livJ,+,b3460
livJ,+,b3460
lrp,+,b0889
mazG,-,b2781
mazF,-,b2782
mazE,-,b2783
glnX,-,b0664
glnV,-,b0665
metU,-,b0666
glnW,-,b0668
glnU,-,b0670
leuW,-,b0672
metT,-,b0673
metZ,-,b2814
metW,-,b2815
metV,-,b2816
mioC,-,b3742
mnmG,-,b3741
rsmG,-,b3740
folK,-,b0142
pcnB,-,b0143
folK,-,b0142
pcnB,-,b0143
folK,-,b0142
pcnB,-,b0143
folK,-,b0142
pcnB,-,b0143
pyrL,-,b4246
pyrI,-,b4244
pyrB,-,b4245
qorA,+,b4051
queA,-,b0405
mazF,+,b2782
mazE,+,b2783
relA,+,b2784
rmf,+,b0953
rplJ,-,b3985
rplL,-,b3986
rpoB,-,b3987
rpoC,-,b3988
rpoC,-,b3988
rpoB,-,b3987
rplL,-,b3986
rplJ,-,b3985
rplA,-,b3984
rplK,-,b3983
rpsI,-,b3230
rplM,-,b3231
rpmJ,-,b3299
secY,-,b3300
rplO,-,b3301
rpmD,-,b3302
rpsE,-,b3303
rplR,-,b3304
rplF,-,b3305
rpsH,-,b3306
rpsN,-,b3307
rplE,-,b3308
rplX,-,b3309
rplN,-,b3310
obgE,-,b3183
yhbE,-,b3184
rpmA,-,b3185
rplU,-,b3186
rplY,-,b2185
mutM,-,b3635
rpmG,-,b3636
rpmB,-,b3637
rpmE,-,b3936
rplT,-,b1716
rpmI,-,b1717
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rpoE,+,b2573
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rpoE,+,b2573
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rpoE,+,b2573
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rpoE,+,b2573
rpoS,-,b2741
rpoS,+,b2741
rpoZ,-,b3649
spoT,-,b3650
trmH,-,b3651
recG,-,b3652
ihfB,-,b0912
rpsA,-,b0911
ihfB,-,b0912
rpsA,-,b0911
tff,-,b4414
rpsB,-,b0169
tsf,-,b0170
rpsQ,-,b3311
rpmC,-,b3312
rplP,-,b3313
rpsC,-,b3314
rplV,-,b3315
rpsS,-,b3316
rplB,-,b3317
rplW,-,b3318
rplD,-,b3319
rplC,-,b3320
rpsJ,-,b3321
tufA,-,b3339
fusA,-,b3340
rpsG,-,b3341
rpsL,-,b3342
rplQ,-,b3294
rpoA,-,b3295
rpsD,-,b3296
rpsK,-,b3297
rpsM,-,b3298
rpsO,-,b3165
pnp,-,b3164
rplS,-,b2606
trmD,-,b2607
rimM,-,b2608
rpsP,-,b2609
rpsT,-,b0023
rpsT,-,b0023
rpsU,-,b3065
dnaG,-,b3066
rpoD,-,b3067
rrfA,-,b3855
rrlA,-,b3854
alaT,-,b3853
ileT,-,b3852
rrsA,-,b3851
rrfA,-,b3855
rrlA,-,b3854
alaT,-,b3853
ileT,-,b3852
rrsA,-,b3851
rrfA,-,b3855
rrlA,-,b3854
alaT,-,b3853
ileT,-,b3852
rrsA,-,b3851
rrfA,-,b3855
rrlA,-,b3854
alaT,-,b3853
ileT,-,b3852
rrsA,-,b3851
rrfB,-,b3971
rrlB,-,b3970
gltT,-,b3969
rrsB,-,b3968
rrfB,-,b3971
rrlB,-,b3970
gltT,-,b3969
rrsB,-,b3968
rrfB,-,b3971
rrlB,-,b3970
gltT,-,b3969
rrsB,-,b3968
rrfB,-,b3971
rrlB,-,b3970
gltT,-,b3969
rrsB,-,b3968
rrfC,-,b3759
rrlC,-,b3758
gltU,-,b3757
rrsC,-,b3756
rrfC,-,b3759
rrlC,-,b3758
gltU,-,b3757
rrsC,-,b3756
rrfC,-,b3759
rrlC,-,b3758
gltU,-,b3757
rrsC,-,b3756
rrfC,-,b3759
rrlC,-,b3758
gltU,-,b3757
rrsC,-,b3756
rrfF,-,b3272
thrV,-,b3273
rrfD,-,b3274
rrlD,-,b3275
alaU,-,b3276
ileU,-,b3277
rrsD,-,b3278
rrfF,-,b3272
thrV,-,b3273
rrfD,-,b3274
rrlD,-,b3275
alaU,-,b3276
ileU,-,b3277
rrsD,-,b3278
rrfF,-,b3272
thrV,-,b3273
rrfD,-,b3274
rrlD,-,b3275
alaU,-,b3276
ileU,-,b3277
rrsD,-,b3278
rrfF,-,b3272
thrV,-,b3273
rrfD,-,b3274
rrlD,-,b3275
alaU,-,b3276
ileU,-,b3277
rrsD,-,b3278
rrfE,-,b4010
rrlE,-,b4009
gltV,-,b4008
rrsE,-,b4007
rrfE,-,b4010
rrlE,-,b4009
gltV,-,b4008
rrsE,-,b4007
rrfE,-,b4010
rrlE,-,b4009
gltV,-,b4008
rrsE,-,b4007
rrfE,-,b4010
rrlE,-,b4009
gltV,-,b4008
rrsE,-,b4007
rrfG,-,b2588
rrlG,-,b2589
gltW,-,b2590
rrsG,-,b2591
rrfG,-,b2588
rrlG,-,b2589
gltW,-,b2590
rrsG,-,b2591
rrfG,-,b2588
rrlG,-,b2589
gltW,-,b2590
rrsG,-,b2591
rrfG,-,b2588
rrlG,-,b2589
gltW,-,b2590
rrsG,-,b2591
rrfH,-,b0205
rrlH,-,b0204
alaV,-,b0203
ileV,-,b0202
rrsH,-,b0201
rrfH,-,b0205
rrlH,-,b0204
alaV,-,b0203
ileV,-,b0202
rrsH,-,b0201
rrfH,-,b0205
rrlH,-,b0204
alaV,-,b0203
ileV,-,b0202
rrsH,-,b0201
rrfH,-,b0205
rrlH,-,b0204
alaV,-,b0203
ileV,-,b0202
rrsH,-,b0201
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rseC,+,b2570
rseB,+,b2571
rseA,+,b2572
rybB,+,b4417
serW,-,b0883
sgrR,+,b0069
sroA,+,b4762
thiB,+,b0068
thiP,+,b0067
thiQ,+,b0066
sgrT,+,b4662
setA,+,b0070
sgrS,+,b4577
speC,-,b2965
sra,+,b1480
thrL,+,b0001
thrA,+,b0002
thrB,+,b0003
thrC,+,b0004
ihfA,-,b1712
pheT,-,b1713
pheS,-,b1714
pheM,-,b1715
rplT,-,b1716
rpmI,-,b1717
infC,-,b1718
thrS,-,b1719
tufB,-,b3980
thrU,-,b3976
tyrU,-,b3977
glyT,-,b3978
thrT,-,b3979
trxA,+,b3781
trxA,+,b3781
tpr,-,b1229
tyrV,-,b1230
tyrT,-,b1231
uspA,+,b3495
uspB,+,b3494
uspE,+,b1333
uspD,+,b3923
yiiS,+,b3922
