Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],iBAQ W_glu_1,iBAQ W_glu_2,iBAQ PLAS30_1,iBAQ PLAS30_2,iBAQ mass W_glu_1,iBAQ mass W_glu_2,iBAQ mass PLAS30_1,iBAQ mass PLAS30_2,Mori sector,wt_mass_fraction_poor,rela_mass_fraction_poor
A0A385XJ53;P0CF12;P0CF11;P0CF07;P0CF10;P0CF09;P0CF08,Insertion element IS1 6 protein InsA;Insertion element IS1 5 protein InsA;Insertion element IS1 1 protein InsA;Insertion element IS1 4 protein InsA;Insertion element IS1 3 protein InsA;Insertion element IS1 2 protein InsA,insA6;insA5;insA1;insA4;insA3;insA2,9.8683,16716.0,16231.0,25818.0,28633.0,164958.5028,160172.3773,254779.7694,282559.0339,Unknown,,
A0A385XJE6;P0CE58;P0CE57;P0CE56;P0CE55;P0CE54;P0CE53;P0CE52;P0CE51;P0CE50;P0CE49;P76071,Transposase InsH for insertion sequence element IS5T;Transposase InsH for insertion sequence element IS5R;Transposase InsH for insertion sequence element IS5LO;Transposase InsH for insertion sequence element IS5K;Transposase InsH for insertion sequence element IS5I;Transposase InsH for insertion sequence element IS5H;Transposase InsH for insertion sequence element IS5F;Transposase InsH for insertion sequence element IS5D;Transposase InsH for insertion sequence element IS5B;Transposase InsH for insertion sequence element IS5A;Transposase InsH for insertion sequence element IS5Y,insH11;insH10;insH9;insH8;insH7;insH6;insH4;insH3;insH2;insH1;insH5,37.851,39269.0,26947.0,7947.4,7164.0,1486370.919,1019970.897,300817.0374,271164.564,Unknown,,
A0A7H2C765;P02919,Penicillin-binding protein 1B;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcB,88.889,79619.0,87188.0,118470.0,118900.0,7077253.290999999,7750054.131999999,10530679.83,10568902.1,S',,
A0A7H2C767,,,79.869,0.0,0.0,105.89,97.953,0.0,0.0,8457.32841,7823.408157,Unknown,,
P0DSF6;A0A7H2C784,,,1.6299,747720.0,728990.0,469960.0,457490.0,1218708.828,1188180.801,765987.804,745662.951,Unknown,,
A5A614,UPF0509 protein YciZ,yciZ,6.4413,42420.0,38942.0,71696.0,87485.0,273239.946,250837.1046,461815.4448,563517.1305,S',,
O32583,Sulfur carrier protein ThiS,thiS,7.3112,118430.0,105220.0,80606.0,84908.0,865865.4160000001,769284.464,589326.5872000001,620779.3696,U,,
O52982,Uncharacterized lipoprotein YfjS,yfjS,16.735,1049.7,0.0,0.0,883.92,17566.7295,0.0,0.0,14792.401199999998,U,,
P00350,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,51.481,1790500.0,1631200.0,2875700.0,3085100.0,92176730.5,83975807.2,148043911.70000002,158824033.1,A,,
P00363,Fumarate reductase flavoprotein subunit,frdA,65.971,19672.0,35119.0,50264.0,75153.0,1297781.512,2316835.549,3315966.344,4957918.563,S',,
P00370,NADP-specific glutamate dehydrogenase,gdhA,48.581,4243200.0,3962400.0,2654400.0,2617700.0,206138899.20000002,192497354.4,128953406.4,127170483.7,U,,
P00393,NADH dehydrogenase,ndh,47.358,297280.0,278420.0,238150.0,254220.0,14078586.239999998,13185414.36,11278307.7,12039350.76,A',,
P00448,Superoxide dismutase [Mn],sodA,23.097,4407700.0,4460500.0,3875800.0,3404200.0,101804646.9,103024168.5,89519352.60000001,78626807.4,S,,
P00452,Ribonucleoside-diphosphate reductase 1 subunit alpha,nrdA,85.774,534160.0,525060.0,554940.0,554270.0,45817039.84,45036496.44,47599423.56,47541954.980000004,S,,
P00490,Maltodextrin phosphorylase,malP,90.521,10658.0,11368.0,26656.0,30620.0,964772.818,1029042.728,2412927.776,2771753.02,A,,
P00509,Aspartate aminotransferase,aspC,43.573,2601200.0,2445800.0,2643000.0,2526700.0,113342087.6,106570843.4,115163439.0,110095899.1,A,,
P00547,Homoserine kinase,thrB,33.623,666710.0,693400.0,1302300.0,1345900.0,22416790.33,23314188.2,43787232.9,45253195.699999996,A,,
P00550,PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component,mtlA,67.971,106550.0,108110.0,245310.0,252960.0,7242310.050000001,7348344.8100000005,16673966.010000002,17193944.16,S,,
P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase,thrA,89.119,2223300.0,2202100.0,3869600.0,4104400.0,198138272.7,196248949.9,344854882.4,365780023.6,A',,
P00562,Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase,metL,88.887,319510.0,313520.0,255010.0,259210.0,28400285.37,27867852.24,22667073.87,23040399.27,R,,
P00579,RNA polymerase sigma factor RpoD,rpoD,70.263,605420.0,614200.0,606230.0,689690.0,42538625.46,43155534.6,42595538.49,48459688.470000006,S,,
P00582,DNA polymerase I,polA,103.12,182210.0,196200.0,216600.0,203670.0,18789495.2,20232144.0,22335792.0,21002450.400000002,S',,
P00634,Alkaline phosphatase,phoA,49.438,2429.3,2572.0,7089.4,8925.6,120099.73340000001,127154.53600000001,350485.7572,441263.8128,U,,
P00722,Beta-galactosidase,lacZ,116.48,39831.0,37604.0,151780.0,23219.0,4639514.88,4380113.92,17679334.400000002,2704549.12,C',,
P00803,Signal peptidase I,lepB,35.96,212420.0,206370.0,210380.0,231160.0,7638623.2,7421065.2,7565264.8,8312513.600000001,C',,
P00805,L-asparaginase 2,ansB,36.85,586.99,618.44,3220.0,3969.1,21630.5815,22789.514000000003,118657.0,146261.335,U,,
P00811,Beta-lactamase,ampC,41.555,8377.0,9198.3,5778.8,8934.1,348106.235,382235.3565,240138.034,371256.5255,U,,
P00861,Diaminopimelate decarboxylase,lysA,46.177,370750.0,373360.0,278980.0,264720.0,17120122.75,17240644.72,12882459.459999999,12223975.44,U,,
P00864,Phosphoenolpyruvate carboxylase,ppc,99.061,1527400.0,1487700.0,2012400.0,2078800.0,151305771.4,147373049.70000002,199350356.4,205928006.8,A,,
P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,38.735,201540.0,198620.0,153510.0,162240.0,7806651.899999999,7693545.7,5946209.85,6284366.4,R,,
P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,38.804,1014300.0,1005300.0,311190.0,283020.0,39358897.2,39009661.2,12075416.76,10982308.08,U,,
P00893,Acetolactate synthase isozyme 3 large subunit,ilvI,62.984,447100.0,459500.0,502490.0,536100.0,28160146.400000002,28941148.0,31648830.16,33765722.4,S,,
P00894,Acetolactate synthase isozyme 3 small subunit,ilvH,17.977,535270.0,557430.0,612640.0,618900.0,9622548.790000001,10020919.11,11013429.28,11125965.3,S,,
P00895,Anthranilate synthase component 1,trpE,57.494,730900.0,664880.0,310830.0,278830.0,42022364.6,38226610.72,17870860.02,16031052.02,U,,
P00903,Aminodeoxychorismate synthase component 2,pabA,20.772,11149.0,47164.0,14259.0,16730.0,231587.028,979690.6079999999,296187.948,347515.56,A',,
P00904,Bifunctional protein TrpGD;Anthranilate synthase component 2;Anthranilate phosphoribosyltransferase,trpGD,56.869,610720.0,594760.0,262850.0,257630.0,34731035.68,33823406.44,14948016.65,14651160.47,U,,
P00909,Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase,trpC,49.492,405820.0,444530.0,216420.0,203570.0,20084843.439999998,22000678.759999998,10711058.639999999,10075086.44,U,,
P00926,D-serine dehydratase,dsdA,47.9,25165.0,22084.0,36379.0,39303.0,1205403.5,1057823.5999999999,1742554.0999999999,1882613.7,S,,
P00934,Threonine synthase,thrC,47.113,2798200.0,2816400.0,4061800.0,4171600.0,131831596.6,132689053.2,191363583.4,196536590.8,A',,
P00935,Cystathionine gamma-synthase,metB,41.55,344980.0,309030.0,238090.0,243280.0,14333918.999999998,12840196.5,9892639.5,10108284.0,U,,
P00936,Adenylate cyclase,cyaA,97.585,57052.0,56091.0,69935.0,73311.0,5567419.42,5473640.234999999,6824606.975,7154053.935,A',,
P00946,Mannose-6-phosphate isomerase,manA,42.849,179850.0,182410.0,261940.0,283610.0,7706392.649999999,7816086.09,11223867.059999999,12152404.889999999,C',,
P00954,Tryptophan--tRNA ligase,trpS,37.437,1060900.0,976600.0,1411100.0,1192900.0,39716913.3,36560974.199999996,52827350.699999996,44658597.3,A,,
P00956,Isoleucine--tRNA ligase,ileS,104.3,771400.0,754860.0,818440.0,841780.0,80457020.0,78731898.0,85363292.0,87797654.0,R,,
P00957,Alanine--tRNA ligase,alaS,96.031,1153900.0,1074500.0,1126000.0,1186700.0,110810170.9,103185309.5,108130906.0,113959987.7,R,,
P00959,Methionine--tRNA ligase,metG,76.254,774300.0,787570.0,863220.0,804280.0,59043472.2,60055362.78,65823977.88,61329567.120000005,A,,
