Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],iBAQ E1,iBAQ E2,iBAQ E3,iBAQ E4,iBAQ mass E1,iBAQ mass E2,iBAQ mass E3,iBAQ mass E4,Mori sector,wt_mass_fraction_rich,rela_mass_fraction_rich
P46482,p-hydroxybenzoic acid efflux pump subunit AaeA,aaeA,34.774,1033.4,955.9,771.9,634.29,35935.45160000001,33240.4666,26842.0506,22056.80046,U,,
P67662,HTH-type transcriptional activator AaeR,aaeR,34.516,4255.0,3894.2,6636.8,11326.0,146865.58,134412.20719999998,229075.78879999998,390928.21599999996,U,,
P31119,Bifunctional protein Aas;2-acylglycerophosphoethanolamine acyltransferase;Acyl-[acyl-carrier-protein] synthetase,aas,80.699,32739.0,31227.0,45456.0,47906.0,2642004.5609999998,2519987.673,3668253.744,3865966.2939999998,S',,
P0A8P1,Leucyl/phenylalanyl-tRNA--protein transferase,aat,26.618,2959.1,2982.6,3747.7,3715.8,78765.3238,79390.8468,99756.27859999999,98907.1644,U,,
P75747,Protein AbrB,abrB,36.883,0.0,0.0,1099.5,1390.5,0.0,0.0,40552.8585,51285.8115,U,,
P0ABD5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,35.241,1023400.0,1053800.0,825920.0,922040.0,36065639.4,37136965.8,29106246.72,32493611.64,R,,
P0ABD8,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB,16.687,631750.0,562830.0,578840.0,589790.0,10542012.25,9391944.21,9659103.08,9841825.73,C,,
P24182,Biotin carboxylase,accC,49.32,1212400.0,1150300.0,990930.0,1028200.0,59795568.0,56732796.0,48872667.6,50710824.0,U,,
P0A9Q5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,33.322,713000.0,580960.0,385660.0,418460.0,23758586.000000004,19358749.12,12850962.520000001,13943924.120000001,R,,
P0A9G6,Isocitrate lyase,aceA,47.521,95914.0,99561.0,353480.0,359570.0,4557929.194,4731238.281,16797723.080000002,17087125.97,S,,
P08997,Malate synthase A,aceB,60.273,124090.0,118110.0,329120.0,196540.0,7479276.57,7118844.03,19837049.76,11846055.42,S,,
P0AFG8,Pyruvate dehydrogenase E1 component,aceE,99.667,2524400.0,2387600.0,1769300.0,1951600.0,251599374.8,237964929.20000002,176340823.1,194510117.20000002,A',,
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,aceF,66.095,2247700.0,2194200.0,1732000.0,1803000.0,148561731.5,145025649.0,114476540.0,119169285.0,A,,
P0A6A3,Acetate kinase,ackA,43.29,1733500.0,1960900.0,983750.0,997280.0,75043215.0,84887361.0,42586537.5,43172251.199999996,A',,
P25516,Aconitate hydratase A,acnA,97.676,128960.0,119460.0,226920.0,239940.0,12596296.96,11668374.96,22164637.92,23436379.44,S,,
P36683,Aconitate hydratase B,acnB,93.497,1953100.0,1780700.0,2749600.0,3043900.0,182608990.7,166490107.9,257079351.2,284595518.3,C,,
P21515,Acyl carrier protein phosphodiesterase,acpH,22.961,0.0,0.0,4204.6,3239.1,0.0,0.0,96541.8206,74372.9751,U,,
P0A6A8,Acyl carrier protein,acpP,8.6394,6252000.0,6281000.0,5097600.0,5008900.0,54013528.800000004,54264071.4,44040205.44,43273890.660000004,S',,
P24224,Holo-[acyl-carrier-protein] synthase,acpS,14.052,3620.6,3360.2,2804.7,2669.1,50876.6712,47217.530399999996,39411.6444,37506.193199999994,A',,
P37623,4-phosphopantetheinyl transferase AcpT,acpT,21.768,13462.0,13088.0,18640.0,8079.8,293040.816,284899.58400000003,405755.52,175881.0864,C,,
P0AE06,Multidrug efflux pump subunit AcrA,acrA,42.196,1002600.0,955420.0,1148100.0,1193400.0,42305709.6,40314902.32,48445227.599999994,50356706.4,S,,
P31224,Multidrug efflux pump subunit AcrB,acrB,113.57,282120.0,283150.0,375780.0,359460.0,32040368.4,32157345.499999996,42677334.599999994,40823872.199999996,S,,
P24177,Probable aminoglycoside efflux pump,acrD,113.05,1610.2,719.15,2185.6,2525.4,182033.11,81299.9075,247082.08,285496.47000000003,U,,
P0ACS9,HTH-type transcriptional regulator AcrR,acrR,24.766,20868.0,21144.0,15581.0,17500.0,516816.888,523652.30399999995,385879.046,433404.99999999994,U,,
P27550,Acetyl-coenzyme A synthetase,acs,72.093,79950.0,70188.0,81246.0,78482.0,5763835.350000001,5060063.484,5857267.8780000005,5658002.826,C,,
P26646,Probable acrylyl-CoA reductase AcuI,acuI,34.723,227590.0,242160.0,302170.0,503300.0,7902607.569999999,8408521.68,10492248.91,17476085.9,S,,
P22333,Adenosine deaminase,add,36.397,57573.0,55814.0,251580.0,260810.0,2095484.481,2031462.1579999998,9156757.26,9492701.57,S,,
P31441,Adenine deaminase,ade,63.739,23331.0,23197.0,6880.3,8664.1,1487094.609,1478553.5829999999,438543.44169999997,552241.0699,C',,
P31466,Adenine permease AdeP,adeP,46.865,90255.0,84459.0,57688.0,66164.0,4229800.575,3958171.035,2703548.12,3100775.8600000003,R,,
P0A9Q7,Aldehyde-alcohol dehydrogenase;Alcohol dehydrogenase;Acetaldehyde dehydrogenase [acetylating];Pyruvate-formate-lyase deactivase,adhE,96.126,1986700.0,1877400.0,1392700.0,1520900.0,190973524.20000002,180466952.4,133874680.2,146198033.4,A,,
P39451,"Alcohol dehydrogenase, propanol-preferring",adhP,35.379,0.0,0.0,9281.1,11049.0,0.0,0.0,328356.0369,390902.571,U,,
